"Lot_Area","House_Style","Heating_QC","Central_Air","Gr_Liv_Area","Fireplaces","Garage_Area","SalePrice","Age_Sold","Season_Sold"
"        7000","1Story","TA","Y","         919","           0","         195","      126000","          82","           3"
"       10125","1Story","TA","Y","        1279","           2","         473","      171500","          31","           1"
"        4500","1Story","Ex","Y","        1189","           0","         392","      160500","          11","           2"
"       14137","SFoyer","Gd","Y","        1200","           0","         850","      173000","          44","           4"
"        1596","SLvl","TA","Y","         988","           1","         297","       94900","          35","           3"
"        8872","SLvl","Gd","Y","        1384","           1","         390","      161500","          10","           2"
"        3696","1Story","Ex","Y","        1088","           0","         461","      170000","          21","           4"
"       10400","1Story","Ex","Y","        1353","           1","         478","      192350","          28","           3"
"        2205","2Story","TA","Y","        1092","           0","         264","      113500","          34","           1"
"        6289","1Story","Ex","Y","        1362","           1","         460","      207000","           2","           3"
"       11950","SLvl","Ex","Y","        1394","           1","         400","      165500","           4","           4"
"        7750","2Story","Ex","Y","        1320","           0","         400","      162000","           4","           3"
"       16196","1Story","Ex","Y","        1494","           1","         514","      215000","           9","           3"
"        6285","1Story","TA","Y","         894","           0","         308","      120750","          30","           2"
"        7476","1Story","TA","Y","        1040","           0","         686","      145000","          39","           3"
"       10768","1Story","TA","Y","        1437","           1","         528","      218000","          31","           3"
"        3840","1Story","TA","Y","        1295","           2","         571","      213750","          29","           3"
"       10800","1Story","TA","Y","        1052","           0","         311","      127000","          44","           1"
"       10355","1Story","TA","Y","        1214","           1","         318","      143000","          40","           3"
"        9350","SLvl","Ex","Y","        1302","           0","         309","      158000","          43","           4"
"        8280","1Story","Ex","Y","         932","           1","         306","      124000","          57","           4"
"        5000","1Story","Fa","N","         334","           0","           0","       39300","          61","           1"
"        3500","1.5Fin","TA","N","         670","           0","           0","       64000","          62","           3"
"       10150","1Story","Ex","Y","         912","           0","         275","      114500","          49","           3"
"        9250","1Story","TA","Y","        1056","           0","         260","      139400","          53","           3"
"        9770","1Story","TA","Y","         922","           0","         308","      116000","          50","           2"
"        8300","1Story","Gd","Y","         952","           0","         288","      128500","          39","           3"
"        7200","1Story","TA","Y","         988","           0","         276","      119000","          57","           2"
"        7000","1Story","Gd","Y","         925","           0","         300","       99000","          46","           3"
"        6600","1Story","Gd","Y","         864","           0","         294","      125500","          45","           1"
"        3153","1Story","Gd","Y","         967","           1","         180","       99900","          87","           3"
"        7200","1Story","Ex","Y","        1072","           2","         379","      130000","          67","           2"
"        6000","1Story","Gd","Y","         960","           0","         308","      108500","          87","           3"
"        3880","1Story","Gd","Y","         866","           0","           0","      110500","          62","           3"
"        8520","1Story","TA","Y","         968","           0","         480","      100000","          84","           3"
"        9600","1.5Fin","Gd","Y","        1472","           0","         250","      125000","          82","           3"
"        4571","2Story","Ex","Y","        1232","           0","         480","      114000","          97","           3"
"        8674","1.5Fin","TA","Y","        1435","           0","         308","      128250","          57","           2"
"        6000","2Story","Ex","Y","        1232","           2","         217","      128000","          68","           1"
"        6000","1.5Fin","Ex","Y","        1218","           1","         440","      131000","          66","           2"
"        6180","1Story","TA","N","         986","           1","         180","      102000","          81","           2"
"        5700","2Story","Gd","N","        1344","           1","         456","      140000","          78","           4"
"        7449","1.5Unf","Ex","Y","        1108","           1","         280","      139400","          77","           3"
"        7200","2.5Unf","TA","N","        1111","           0","         288","      101000","          87","           2"
"       12358","1.5Fin","TA","Y","        1382","           0","         660","      128500","          66","           2"
"        4388","1.5Unf","Ex","Y","         840","           1","           0","       87000","          77","           3"
"        7943","1Story","Gd","Y","        1029","           0","         261","      118500","          46","           2"
"       14149","SLvl","TA","Y","        1020","           1","         528","      165000","          43","           2"
"        8425","1Story","Gd","Y","         868","           0","         576","      119900","          36","           2"
"       25339","1Story","Ex","Y","        1416","           0","         576","      112000","          89","           3"
"       11515","1Story","TA","N","         943","           0","         308","       80000","          49","           3"
"       11100","1.5Fin","TA","N","        1480","           1","         253","      136500","          56","           3"
"       10357","1Story","Gd","Y","        1442","           1","         719","      179900","          17","           2"
"        8760","1Story","Ex","Y","        1500","           1","         674","      212999","           1","           3"
"        9317","1Story","Gd","Y","        1314","           1","         440","      176432","           1","           2"
"        8660","SLvl","TA","Y","        1025","           1","         370","      153500","          31","           3"
"        9720","SLvl","TA","Y","        1009","           1","         576","      160000","          30","           3"
"        4435","1Story","Ex","Y","         848","           0","         420","      131500","           4","           4"
"        8240","1Story","Gd","Y","        1179","           0","         622","      110000","          47","           3"
"        6285","SLvl","TA","Y","        1044","           1","         528","      133500","          31","           2"
"       10594","1.5Unf","Fa","N","         789","           0","         200","       96500","          81","           3"
"        6720","2Story","TA","N","        1436","           1","         228","      141500","          86","           2"
"        4280","1Story","TA","N","         694","           1","         352","       90350","          94","           2"
"        6305","1Story","Ex","Y","         954","           1","         240","      119750","          69","           3"
"       13108","1Story","Fa","Y","        1226","           1","         400","      153500","          56","           3"
"        6060","1.5Fin","Gd","Y","        1123","           0","         264","      100000","          68","           3"
"        6060","1Story","Ex","Y","        1001","           0","         216","      124900","          77","           4"
"        9187","1Story","TA","Y","        1080","           0","         484","      134000","          24","           3"
"        6718","1Story","Ex","Y","        1312","           0","         471","      180500","           6","           1"
"        9590","SLvl","Ex","Y","        1146","           1","         438","      187500","           4","           2"
"        6710","SFoyer","Ex","Y","         936","           0","         460","      140000","          11","           3"
"        4224","1Story","TA","Y","        1142","           1","         528","      134000","          31","           3"
"        1495","2Story","Ex","Y","        1092","           0","           0","       93900","          37","           2"
"        2001","2Story","Fa","Y","        1092","           0","         286","       75000","          37","           1"
"        9129","SFoyer","TA","Y","        1008","           1","         678","      153500","          30","           3"
"        7599","1Story","TA","Y","         845","           0","         360","      129500","          25","           3"
"       10447","1Story","TA","Y","         887","           0","         288","      124500","          23","           1"
"       10533","1Story","TA","Y","        1024","           2","         313","      157500","          50","           3"
"       10464","SFoyer","TA","Y","        1102","           1","         582","      169000","          26","           3"
"       10140","1Story","Ex","Y","        1074","           0","         495","      153500","          31","           3"
"        8773","1Story","Ex","Y","        1419","           0","         543","      190000","           4","           4"
"        2760","2Story","TA","Y","        1092","           0","         440","      105500","          33","           1"
"        1680","2Story","Gd","Y","        1218","           0","         264","      118000","          34","           2"
"        1680","2Story","TA","Y","         948","           0","         264","       89000","          34","           3"
"        8638","1Story","Gd","Y","         925","           0","         484","      133500","          43","           4"
"        8020","1Story","TA","N","         912","           0","           0","      124000","          42","           2"
"        6993","1Story","TA","Y","        1236","           1","         288","      135000","          45","           3"
"        8789","1Story","TA","Y","         941","           1","         288","      129200","          39","           3"
"        3628","1Story","Ex","Y","        1143","           1","         588","      176400","           2","           2"
"        2544","2Story","Ex","Y","        1223","           0","         480","      147400","           1","           3"
"        3876","1Story","TA","Y","        1226","           1","         484","      170000","          28","           3"
"       13110","1Story","Ex","Y","        1193","           0","         501","      146500","          34","           3"
"        9600","1Story","TA","Y","        1164","           0","         528","      140000","          37","           3"
"        9759","1Story","TA","Y","        1051","           0","         264","      124400","          40","           2"
"       11425","1Story","Gd","Y","        1008","           1","         275","      137000","          52","           3"
"        9723","1Story","TA","Y","        1008","           0","         430","      135000","          43","           4"
"        7500","1.5Fin","Ex","Y","        1312","           0","         649","      127000","          59","           4"
"       13400","SLvl","TA","Y","        1086","           1","         484","      159950","          40","           3"
"        7100","1Story","TA","Y","         816","           0","         308","      129900","          49","           3"
"        7200","1Story","TA","Y","        1040","           0","         420","      109900","          56","           3"
"        8544","1Story","Gd","N","        1040","           0","         400","       93500","          56","           3"
"        7000","1Story","TA","Y","        1150","           0","         288","      146000","          45","           3"
"        7590","2Story","TA","Y","        1348","           1","         453","      155000","          40","           3"
"        7000","1Story","Gd","Y","         864","           0","         336","      105000","          44","           1"
"        6451","2Story","Gd","Y","        1428","           0","         576","      139900","         106","           2"
"        5684","1Story","Ex","Y","         813","           0","         270","      110000","          76","           3"
"        7200","1Story","Ex","Y","         864","           0","         528","      105000","          56","           3"
"        6000","1Story","TA","Y","         960","           0","         576","      135500","          51","           3"
"        5820","1Story","Ex","Y","        1163","           0","         220","      126175","          51","           3"
"        5747","1Story","Gd","Y","         840","           0","         250","       64000","          86","           3"
"        3600","2Story","Ex","N","        1368","           0","         216","      114504","          96","           4"
"        6240","1.5Fin","TA","Y","        1176","           1","         528","      114500","          72","           4"
"        6120","1.5Fin","Gd","Y","        1324","           0","         180","      110000","          76","           1"
"        7518","2Story","Gd","Y","        1330","           0","         390","      116500","          96","           3"
"        7200","1.5Fin","Ex","Y","        1360","           0","         297","      125500","          68","           3"
"        9786","1Story","Fa","N","        1077","           1","         210","       91000","          84","           2"
"        8250","1Story","TA","N","        1032","           1","         260","      125000","          71","           3"
"        8414","1Story","TA","Y","        1068","           0","         264","      154500","          43","           1"
"       11553","1Story","TA","Y","        1159","           1","         336","      158000","          38","           3"
"       10246","SLvl","Ex","Y","         960","           0","         364","      145000","          41","           2"
